shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
245200,0,43.367420,-8.408640,0
245200,1,43.367320,-8.408760,14.755927599632654
245200,2,43.367270,-8.408790,20.821547972295384
245200,3,43.367210,-8.408800,27.542044833840205
245200,4,43.367150,-8.408760,34.95599067336353
245200,5,43.366900,-8.408720,62.94217687273391
245200,6,43.366050,-8.408480,159.42858399326215
245200,7,43.364750,-8.408150,306.42306063712
245200,8,43.364620,-8.408130,320.96855468617224
245200,9,43.363950,-8.408100,395.50872056793435
245200,10,43.362460,-8.408020,561.3155646188793
245200,11,43.362180,-8.408000,592.4921403098499
245200,12,43.361980,-8.408020,614.7898534478129
245200,13,43.361880,-8.408000,626.026296304692
245200,14,43.361370,-8.407740,686.5057871141249
245200,15,43.361270,-8.407660,699.369353103638
245200,16,43.360790,-8.406830,785.108297209478
245200,17,43.360660,-8.406660,805.0542273981066
245200,18,43.360410,-8.406470,836.8144707627845
245200,19,43.359930,-8.406110,897.6074949626367
245200,20,43.359770,-8.405910,921.6483792618284
245200,21,43.359470,-8.405500,968.6748385945544
245200,22,43.359370,-8.405420,981.5385064144306
245200,23,43.358600,-8.405570,1068.0132604992934
245200,24,43.357460,-8.405880,1197.2295274194184
245200,25,43.355620,-8.406370,1405.6286045889253
245200,26,43.354960,-8.406480,1479.5542807698657
245200,27,43.354590,-8.406480,1520.6964604559005
245200,28,43.353120,-8.406830,1686.5847469639511
245200,29,43.350370,-8.407480,1996.8548393897092
245200,30,43.350160,-8.407630,2023.1678086543973
245200,31,43.349650,-8.407760,2080.843276965034
245200,32,43.348850,-8.408220,2177.262494933078
245200,33,43.348510,-8.408300,2215.618246550166
245200,34,43.348320,-8.408400,2238.239845467733
245200,35,43.348310,-8.408450,2242.4329888457696
245200,36,43.348230,-8.408500,2252.204265865089
245200,37,43.347760,-8.408440,2304.6906690058254
245200,38,43.347600,-8.408470,2322.646502136049
245200,39,43.346580,-8.408710,2437.7138427224486
245200,40,43.345390,-8.408760,2570.0977445218855
245200,41,43.345060,-8.408740,2606.827744440952
245200,42,43.344360,-8.408890,2685.603763008251
245200,43,43.343930,-8.408930,2733.526935265495
245200,44,43.343750,-8.408920,2753.558379127834
245200,45,43.343360,-8.408850,2797.292350184692
245200,46,43.342960,-8.408720,2842.9958859493545
245200,47,43.342630,-8.408550,2882.180979898017
245200,48,43.341910,-8.408050,2971.8726972402346
245200,49,43.340710,-8.407160,3123.48049851533
245200,50,43.338320,-8.405380,3425.719931253173
245200,51,43.337590,-8.404870,3516.7703569928117
245200,52,43.337540,-8.404890,3522.56062069512
245200,53,43.337400,-8.404860,3538.3158689579955
245200,54,43.337220,-8.404740,3560.559789559538
245200,55,43.337160,-8.404690,3568.3613056808317
245200,56,43.337130,-8.404690,3571.6971580873164
245200,57,43.337100,-8.404760,3578.2681494451867
245200,58,43.337040,-8.404720,3585.682795224116
245200,59,43.337030,-8.404580,3597.059826337785
245200,60,43.336940,-8.404500,3608.9767314035853
245200,61,43.336930,-8.404390,3617.942266592248
245200,62,43.336520,-8.404110,3668.846621866393
245200,63,43.336330,-8.404070,3690.2199331467996
245200,64,43.336000,-8.403850,3731.0006006300155
245200,65,43.335920,-8.403810,3740.46619744519
245200,66,43.335810,-8.403780,3752.935983531013
245200,67,43.335730,-8.403820,3762.4015838064106
245200,68,43.335690,-8.403920,3771.6316529532837
245200,69,43.335660,-8.404440,3813.819914613727
245200,70,43.335600,-8.404950,3855.6034285863343
245200,71,43.335460,-8.405340,3890.778018563562
245200,72,43.335210,-8.405790,3936.57501893961
245200,73,43.335140,-8.405950,3951.6760446130747
245200,74,43.335120,-8.406050,3960.0640247593747
245200,75,43.335140,-8.406180,3970.8107832018786
245200,76,43.335120,-8.406250,3976.893368993651
245200,77,43.335060,-8.406340,3986.767366042958
245200,78,43.335010,-8.406360,3992.557648571664
245200,79,43.334910,-8.406500,4008.4275138127896
245200,80,43.334700,-8.407020,4056.5319818373205
245200,81,43.334550,-8.407450,4095.102625029223
245200,82,43.334460,-8.407800,4125.127123108371
245200,83,43.334390,-8.408270,4163.928931890204
245200,84,43.334350,-8.408740,4202.201384657028
245200,85,43.334310,-8.409590,4271.092302917161
245200,86,43.334280,-8.409720,4282.123079410925
245200,87,43.334160,-8.410020,4309.813808506519
245200,88,43.332910,-8.412330,4542.678304478668
245200,89,43.332940,-8.412370,4547.325310713515
245200,90,43.332950,-8.412430,4552.303926918899
245200,91,43.332940,-8.412510,4558.869247144646
245200,92,43.332900,-8.412560,4564.88067474597
245200,93,43.332850,-8.412570,4570.498951882138
245200,94,43.332810,-8.412560,4575.019696031429
245200,95,43.332780,-8.412510,4580.262051134285
245200,96,43.332760,-8.412450,4585.600221120628
245201,0,43.332760,-8.412450,0
245201,1,43.332770,-8.412380,5.76983905380959
245201,2,43.332800,-8.412330,11.012194670350077
245201,3,43.332850,-8.412310,16.80249364415949
245201,4,43.332910,-8.412330,23.667501868196837
245201,5,43.333730,-8.410810,176.7282242421966
245201,6,43.334160,-8.410020,256.5324803387
245201,7,43.334280,-8.409720,284.2232094342941
245201,8,43.334310,-8.409590,295.2539859280586
245201,9,43.334350,-8.408740,364.1449041881919
245201,10,43.334390,-8.408270,402.4173569550161
245201,11,43.334460,-8.407800,441.21916573684905
245201,12,43.334530,-8.407150,494.36349807687327
245201,13,43.334620,-8.406750,528.2274891807631
245201,14,43.334790,-8.406310,568.523057061177
245201,15,43.334850,-8.406160,582.3683165787292
245201,16,43.334880,-8.406030,593.3989990043297
245201,17,43.334930,-8.405970,600.778669004095
245201,18,43.335000,-8.405950,608.7286254742552
245201,19,43.335070,-8.405980,616.8816884390291
245201,20,43.335120,-8.406050,624.8166120800221
245201,21,43.335140,-8.406180,635.5633705225259
245201,22,43.335190,-8.406310,647.4569745139943
245201,23,43.335940,-8.407240,759.7618642183761
245201,24,43.336300,-8.407680,813.3227025498685
245201,25,43.336370,-8.407730,822.094119989892
245201,26,43.336510,-8.407780,838.1780744662049
245201,27,43.336570,-8.407770,844.8986205364491
245201,28,43.336930,-8.407520,889.7453078771327
245201,29,43.337460,-8.407010,961.6786621359892
245201,30,43.337700,-8.406460,1013.5511399414341
245201,31,43.338100,-8.405410,1109.412302670042
245201,32,43.338280,-8.404980,1149.5366036919932
245201,33,43.338370,-8.404800,1167.2019740907397
245201,34,43.338640,-8.404400,1211.336360234672
245201,35,43.338660,-8.404310,1218.9471222635761
245201,36,43.338710,-8.404250,1226.3265936313544
245201,37,43.338770,-8.404230,1233.191565076094
245201,38,43.338830,-8.404270,1240.606170642959
245201,39,43.339040,-8.404530,1272.029101023109
245201,40,43.339130,-8.404670,1287.1401217598743
245201,41,43.339170,-8.404860,1303.1367062410345
245201,42,43.339220,-8.405370,1344.754749151786
245201,43,43.339270,-8.405600,1364.168557330243
245201,44,43.339370,-8.405800,1383.796528241914
245201,45,43.339760,-8.406250,1440.4094781450353
245201,46,43.340850,-8.407060,1578.1812465905325
245201,47,43.341980,-8.407900,1721.0188533778626
245201,48,43.342630,-8.408360,1802.3068412241962
245201,49,43.342970,-8.408530,1842.5350983822868
245201,50,43.343420,-8.408690,1894.2186691601485
245201,51,43.343600,-8.408730,1914.4934789786535
