trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup,dropoff
245233,00:00:00,00:00:00,460,0,0,0
245233,00:00:43,00:00:43,349,1,0,0
245233,00:02:19,00:02:19,461,2,0,0
245233,00:03:05,00:03:05,497,3,0,0
245233,00:05:18,00:05:18,503,4,0,0
245233,00:06:25,00:06:25,281,5,0,0
245233,00:10:10,00:10:10,282,6,0,0
245233,00:12:22,00:12:22,399,7,0,0
245233,00:15:14,00:15:14,400,8,0,0
245233,00:17:24,00:17:24,25,9,0,0
245233,00:19:56,00:19:56,398,10,0,0
245333,00:00:00,00:00:00,398,0,0,0
245333,00:01:43,00:01:43,187,1,0,0
245333,00:02:26,00:02:26,188,2,0,0
245333,00:03:38,00:03:38,189,3,0,0
245333,00:05:12,00:05:12,129,4,0,0
245333,00:07:20,00:07:20,344,5,0,0
245333,00:10:06,00:10:06,345,6,0,0
245333,00:13:35,00:13:35,286,7,0,0
245333,00:15:29,00:15:29,287,8,0,0
245333,00:17:07,00:17:07,394,9,0,0
245333,00:19:56,00:19:56,460,10,0,0
245433,00:00:00,00:00:00,281,0,0,1
245433,00:02:00,00:02:00,282,1,1,0
245433,00:05:30,00:05:30,399,2,1,0
245433,00:07:30,00:07:30,400,3,1,0
245433,00:09:00,00:09:00,25,4,1,0
245433,00:13:00,00:13:00,398,5,1,0
400140,00:00:00,00:00:00,398,0,0,1
400140,00:07:00,00:07:00,344,1,1,0
400140,00:08:30,00:08:30,345,2,1,0
400140,00:09:40,00:09:40,286,3,1,0
400140,00:11:20,00:11:20,394,4,1,0
400140,00:12:40,00:12:40,460,5,1,0
400140,00:14:10,00:14:10,497,6,1,0
400140,00:15:20,00:15:20,540,7,1,0
400140,00:15:50,00:15:50,342,8,1,0
400140,00:16:20,00:16:20,343,9,1,0
400140,00:17:00,00:17:00,583,10,1,0
400040,00:00:00,00:00:00,460,0,0,1
400040,00:01:00,00:01:00,349,1,0,1
400040,00:02:00,00:02:00,461,2,0,1
400040,00:02:30,00:02:30,497,3,0,1
400040,00:03:15,00:03:15,540,4,0,1
400040,00:04:30,00:04:30,342,5,0,1
400040,00:05:15,00:05:15,343,6,0,1
400040,00:06:00,00:06:00,583,7,0,1
400040,00:10:00,00:10:00,321,8,0,1
400040,00:20:00,00:20:00,398,9,0,1
